model_name,image_name,dice,iou,ssim,accuracy,precision,recall,f1_score,hausdorff
MyModel,Huh7_Phase_A10_1_00d04h00m_3.png,0.926159,0.862473,0.998655,0.975945,0.900574,0.95324,0.926159,65.551506
MyModel,Huh7_Phase_A10_1_00d04h00m_4.png,0.888569,0.799481,0.99787,0.972552,0.852474,0.927855,0.888569,106.526992
MyModel,Huh7_Phase_A10_1_00d08h00m_2.png,0.92499,0.860448,0.997982,0.969389,0.915383,0.934802,0.92499,63.812225
MyModel,Huh7_Phase_A10_1_00d08h00m_3.png,0.924977,0.860426,0.998284,0.972542,0.905156,0.945686,0.924977,96.187317
MyModel,Huh7_Phase_A10_1_00d08h00m_4.png,0.934081,0.876315,0.998829,0.981048,0.939346,0.928874,0.934081,96.0
MyModel,Huh7_Phase_A10_1_00d12h00m_4.png,0.919251,0.850569,0.998187,0.975484,0.945634,0.8943,0.919251,82.855296
MyModel,Huh7_Phase_A10_1_00d16h00m_1.png,0.930536,0.870096,0.997333,0.964019,0.928744,0.932336,0.930536,71.568149
MyModel,Huh7_Phase_A10_1_00d16h00m_2.png,0.92742,0.864662,0.997836,0.966764,0.891844,0.965952,0.92742,65.14599
MyModel,Huh7_Phase_A10_1_00d16h00m_3.png,0.923721,0.858254,0.998031,0.969474,0.901332,0.94725,0.923721,67.779053
MyModel,Huh7_Phase_A10_1_00d16h00m_4.png,0.927695,0.865141,0.998677,0.976169,0.900774,0.956275,0.927695,58.00862
MyModel,Huh7_Phase_A10_1_00d20h00m_1.png,0.917687,0.847894,0.99721,0.957859,0.907811,0.927781,0.917687,40.0
MyModel,Huh7_Phase_A10_1_00d20h00m_3.png,0.872097,0.773202,0.99553,0.948801,0.826551,0.922956,0.872097,107.837841
MyModel,Huh7_Phase_A10_1_00d20h00m_4.png,0.913618,0.840972,0.997659,0.97132,0.88919,0.939426,0.913618,68.249542
MyModel,Huh7_Phase_A10_1_01d00h00m_1.png,0.900283,0.81865,0.995148,0.947408,0.892366,0.908342,0.900283,69.570109
